,surface,tourney_level,second_id,second_hand,second_ht,second_age,first_id,first_hand,first_ht,first_age,best_of,round,second_rank,second_rank_points,first_rank,first_rank_points,tourney_year,label
62931,1.0,4.0,100644.0,1.0,198.0,21.9,104926.0,1.0,178.0,31.8,3.0,5.0,3.0,6040.0,18.0,1885.0,2019.0,1.0
71592,3.0,4.0,134770.0,1.0,183.0,23.6,128034.0,1.0,196.0,25.4,3.0,9.0,7.0,4685.0,10.0,3015.0,2022.0,1.0
151169,2.0,3.0,104312.0,1.0,190.0,29.3,105453.0,1.0,178.0,23.4,5.0,6.0,28.0,1380.0,11.0,2495.0,2013.0,0.0
55920,2.0,0.0,106233.0,1.0,185.0,22.7,104259.0,1.0,178.0,32.6,3.0,2.0,7.0,3105.0,26.0,1450.0,2016.0,0.0
37161,2.0,0.0,106421.0,1.0,198.0,26.3,128034.0,1.0,196.0,25.3,3.0,2.0,1.0,7950.0,12.0,3258.0,2022.0,1.0
176165,1.0,4.0,104545.0,1.0,206.0,37.0,111815.0,0.0,188.0,26.6,3.0,6.0,23.0,1706.0,11.0,3335.0,2022.0,1.0
148063,3.0,4.0,106421.0,1.0,198.0,22.6,103819.0,1.0,185.0,37.1,3.0,6.0,22.0,1762.0,2.0,6900.0,2018.0,1.0
73822,3.0,4.0,200282.0,1.0,183.0,22.6,126774.0,1.0,193.0,23.1,3.0,5.0,27.0,1956.0,3.0,8175.0,2021.0,1.0
106870,1.0,4.0,103819.0,1.0,185.0,33.7,104527.0,1.0,183.0,30.1,3.0,9.0,2.0,8645.0,9.0,3575.0,2015.0,0.0
189812,1.0,3.0,104925.0,1.0,188.0,34.0,126774.0,1.0,193.0,22.8,5.0,2.0,1.0,11313.0,5.0,7500.0,2021.0,0.0
206859,3.0,4.0,103819.0,1.0,185.0,37.2,105453.0,1.0,178.0,28.8,3.0,3.0,3.0,6260.0,11.0,3210.0,2018.0,0.0
27847,1.0,4.0,126774.0,1.0,193.0,20.7,103819.0,1.0,185.0,37.7,3.0,3.0,7.0,3790.0,3.0,5770.0,2019.0,0.0
140628,3.0,4.0,105453.0,1.0,178.0,23.8,104542.0,1.0,188.0,28.5,3.0,6.0,19.0,1915.0,9.0,3235.0,2013.0,0.0
36196,3.0,0.0,104925.0,1.0,188.0,27.7,104607.0,1.0,196.0,29.4,3.0,9.0,1.0,13045.0,8.0,4460.0,2015.0,0.0
119479,3.0,0.0,126094.0,1.0,188.0,24.9,126774.0,1.0,193.0,24.1,3.0,9.0,9.0,3345.0,6.0,4810.0,2022.0,1.0
3219,3.0,4.0,104792.0,1.0,193.0,29.5,105777.0,1.0,188.0,24.8,3.0,5.0,16.0,2130.0,28.0,1385.0,2016.0,0.0
132338,1.0,1.0,104386.0,1.0,180.0,29.2,105683.0,1.0,196.0,22.7,5.0,8.0,23.0,1505.0,11.0,2555.0,2013.0,1.0
15222,1.0,4.0,104545.0,1.0,206.0,33.0,100644.0,1.0,198.0,21.0,3.0,3.0,9.0,3125.0,3.0,5195.0,2018.0,1.0
91869,1.0,4.0,104545.0,1.0,206.0,32.0,100644.0,1.0,198.0,20.0,3.0,9.0,24.0,1705.0,17.0,2300.0,2017.0,1.0
173343,3.0,2.0,105777.0,1.0,188.0,26.4,105807.0,1.0,188.0,26.3,3.0,8.0,6.0,3650.0,10.0,2615.0,2017.0,0.0
55863,3.0,3.0,104925.0,1.0,188.0,29.2,104792.0,1.0,193.0,29.9,5.0,9.0,1.0,14840.0,12.0,2835.0,2016.0,0.0
199182,3.0,4.0,105777.0,1.0,188.0,24.8,104792.0,1.0,193.0,29.5,3.0,5.0,28.0,1385.0,16.0,2130.0,2016.0,1.0
122199,3.0,0.0,200000.0,1.0,193.0,21.4,100644.0,1.0,198.0,24.7,3.0,8.0,11.0,3308.0,3.0,7840.0,2022.0,0.0
40928,3.0,4.0,104022.0,1.0,183.0,32.1,103970.0,1.0,175.0,32.3,3.0,5.0,25.0,1495.0,6.0,4255.0,2014.0,1.0
117048,1.0,4.0,105227.0,1.0,198.0,29.6,105807.0,1.0,188.0,26.8,3.0,3.0,5.0,4770.0,11.0,2280.0,2018.0,0.0
126896,3.0,4.0,105683.0,1.0,196.0,27.6,105676.0,1.0,180.0,27.6,3.0,7.0,29.0,1360.0,11.0,3120.0,2018.0,0.0
25770,3.0,4.0,100644.0,1.0,198.0,21.4,106378.0,1.0,188.0,23.7,3.0,3.0,5.0,4755.0,14.0,1990.0,2018.0,0.0
22900,3.0,0.0,104259.0,1.0,178.0,29.9,104745.0,0.0,185.0,27.3,3.0,5.0,25.0,1445.0,2.0,10860.0,2013.0,1.0
170034,1.0,4.0,106233.0,1.0,185.0,23.6,104925.0,1.0,188.0,29.9,3.0,9.0,7.0,4035.0,2.0,6845.0,2017.0,1.0
106004,1.0,4.0,104926.0,1.0,178.0,25.8,104312.0,1.0,190.0,29.1,3.0,7.0,32.0,1135.0,18.0,1895.0,2013.0,0.0
77295,2.0,3.0,111575.0,1.0,198.0,23.1,105138.0,1.0,183.0,31.2,5.0,6.0,9.0,2980.0,22.0,1600.0,2019.0,1.0
33883,2.0,0.0,104792.0,1.0,193.0,27.7,105453.0,1.0,178.0,24.4,3.0,5.0,20.0,1660.0,12.0,2645.0,2014.0,1.0
173021,3.0,0.0,132283.0,1.0,191.0,26.3,134770.0,1.0,183.0,22.7,3.0,3.0,23.0,2097.0,10.0,3440.0,2021.0,1.0
62336,3.0,0.0,103819.0,1.0,185.0,38.2,200282.0,1.0,183.0,20.6,3.0,2.0,3.0,6950.0,28.0,1440.0,2019.0,0.0
67387,3.0,4.0,104731.0,1.0,203.0,31.2,105023.0,1.0,198.0,29.8,3.0,5.0,32.0,1260.0,20.0,1990.0,2017.0,0.0
147379,3.0,4.0,104731.0,1.0,203.0,29.4,105453.0,1.0,178.0,25.7,3.0,5.0,10.0,2475.0,6.0,4710.0,2015.0,0.0
149268,3.0,4.0,126774.0,1.0,193.0,23.1,104926.0,1.0,178.0,34.3,3.0,6.0,3.0,8175.0,30.0,1664.0,2021.0,0.0
110768,3.0,3.0,104731.0,1.0,203.0,29.2,104527.0,1.0,183.0,30.4,5.0,3.0,14.0,2160.0,5.0,5710.0,2015.0,1.0
124343,3.0,3.0,105453.0,1.0,178.0,26.6,104527.0,1.0,183.0,31.4,5.0,9.0,7.0,4165.0,3.0,4980.0,2016.0,1.0
4722,1.0,0.0,126610.0,1.0,196.0,26.2,134770.0,1.0,183.0,23.5,3.0,2.0,15.0,2280.0,5.0,4890.0,2022.0,1.0
4742,3.0,4.0,124187.0,1.0,211.0,24.5,133430.0,0.0,185.0,22.8,3.0,6.0,17.0,2156.0,13.0,3020.0,2022.0,0.0
38886,3.0,4.0,104259.0,1.0,178.0,33.0,106058.0,1.0,185.0,24.1,3.0,7.0,32.0,1315.0,24.0,1540.0,2016.0,1.0
16351,1.0,4.0,105138.0,1.0,183.0,30.0,104259.0,1.0,178.0,34.5,3.0,6.0,14.0,2175.0,28.0,1450.0,2018.0,1.0
95509,3.0,4.0,104527.0,1.0,183.0,34.3,111575.0,1.0,198.0,23.2,3.0,6.0,22.0,1715.0,8.0,2890.0,2019.0,1.0
160160,2.0,0.0,105777.0,1.0,188.0,26.0,103852.0,0.0,188.0,35.7,3.0,9.0,11.0,2980.0,32.0,1220.0,2017.0,1.0
149145,3.0,4.0,105173.0,0.0,183.0,26.7,104527.0,1.0,183.0,29.9,3.0,6.0,32.0,1193.0,8.0,4515.0,2015.0,0.0
116813,3.0,0.0,200000.0,1.0,193.0,22.2,208029.0,1.0,185.0,19.4,3.0,2.0,9.0,3315.0,25.0,1703.0,2022.0,0.0
175077,3.0,3.0,104180.0,0.0,193.0,33.6,105683.0,1.0,196.0,26.0,5.0,7.0,28.0,1415.0,3.0,5290.0,2017.0,1.0
48996,3.0,0.0,200000.0,1.0,193.0,19.5,105777.0,1.0,188.0,28.7,3.0,5.0,21.0,1666.0,22.0,1637.0,2020.0,0.0
126514,3.0,2.0,126774.0,1.0,193.0,21.2,104745.0,0.0,185.0,33.4,3.0,8.0,6.0,4000.0,1.0,9585.0,2019.0,1.0
164510,1.0,4.0,104607.0,1.0,196.0,29.6,104755.0,1.0,185.0,28.8,3.0,6.0,7.0,4960.0,23.0,1535.0,2015.0,0.0
76622,2.0,3.0,104468.0,1.0,183.0,30.5,104792.0,1.0,193.0,28.8,5.0,6.0,13.0,2435.0,18.0,1885.0,2015.0,0.0
200355,3.0,0.0,105777.0,1.0,188.0,23.4,103819.0,1.0,185.0,33.1,3.0,3.0,11.0,3645.0,2.0,9080.0,2014.0,1.0
126782,3.0,3.0,106421.0,1.0,198.0,23.5,104527.0,1.0,183.0,34.4,5.0,3.0,5.0,4125.0,24.0,1535.0,2019.0,0.0
75786,3.0,0.0,128034.0,1.0,196.0,25.6,202103.0,1.0,185.0,24.1,3.0,6.0,10.0,3175.0,29.0,1394.0,2022.0,0.0
55691,3.0,0.0,105668.0,1.0,203.0,23.2,104755.0,1.0,185.0,27.6,3.0,9.0,21.0,1615.0,9.0,3050.0,2014.0,1.0
24735,3.0,3.0,105683.0,1.0,196.0,24.6,103852.0,0.0,188.0,33.9,5.0,6.0,10.0,2880.0,19.0,1665.0,2015.0,1.0
149758,3.0,4.0,200282.0,1.0,183.0,23.4,105777.0,1.0,188.0,31.2,3.0,6.0,21.0,1585.0,19.0,1775.0,2022.0,0.0
182200,3.0,4.0,103819.0,1.0,185.0,38.1,100644.0,1.0,198.0,22.4,3.0,3.0,3.0,7130.0,6.0,4185.0,2019.0,1.0
73000,1.0,4.0,104545.0,1.0,206.0,30.0,105173.0,0.0,183.0,26.8,3.0,7.0,18.0,1765.0,29.0,1258.0,2015.0,0.0
19325,1.0,0.0,106058.0,1.0,185.0,24.5,105449.0,1.0,188.0,27.2,3.0,9.0,16.0,2405.0,29.0,1380.0,2017.0,1.0
110698,3.0,0.0,104745.0,0.0,185.0,33.2,105683.0,1.0,196.0,28.7,3.0,8.0,2.0,9225.0,24.0,1450.0,2019.0,0.0
64502,3.0,4.0,106401.0,1.0,193.0,24.2,111575.0,1.0,198.0,23.2,3.0,6.0,27.0,1475.0,9.0,2890.0,2019.0,1.0
155567,3.0,4.0,104925.0,1.0,188.0,27.4,105683.0,1.0,196.0,23.8,3.0,2.0,1.0,11510.0,10.0,3930.0,2014.0,0.0
160019,3.0,0.0,100644.0,1.0,198.0,20.4,104926.0,1.0,178.0,30.3,3.0,5.0,4.0,4310.0,26.0,1650.0,2017.0,0.0
17864,3.0,4.0,105936.0,1.0,185.0,26.0,103819.0,1.0,185.0,36.5,3.0,6.0,28.0,1503.0,1.0,10060.0,2018.0,1.0
153876,3.0,3.0,105683.0,1.0,196.0,28.0,100644.0,1.0,198.0,21.7,5.0,5.0,17.0,1900.0,4.0,6385.0,2019.0,0.0
98371,3.0,4.0,104925.0,1.0,188.0,28.8,104607.0,1.0,196.0,30.5,3.0,3.0,1.0,16540.0,7.0,3810.0,2016.0,0.0
